riis on geniaaln,CPU Name,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Test Date,Socket,Category
,06/8c,8,NA,"5,040",NA,"2,680",NA,NA,NA,NA,Unknown,Mobile/Embedded
,15/70,2,NA,"1,085",NA,878,NA,NA,NA,Oct 2021,Unknown,Unknown
,AArch64 rev 1 (aarch64),8,NA,"2,292",NA,"1,036",NA,NA,NA,NA,Unknown,Unknown
,AArch64 rev 4 (aarch64),8,NA,"1,666",NA,643,NA,NA,NA,NA,Unknown,Unknown
,AMD 3015Ce,2,NA,"1,386",NA,"1,264",NA,6,230.97,NA,FT5,Mobile/Embedded
,AMD 3020e,2,NA,"2,530",NA,"1,440",NA,6,421.64,Jun 2020,Unknown,Laptop
,AMD A10 Micro-6700T APU,4,NA,"1,345",NA,700,NA,5,268.95,May 2015,FT3b,Laptop
,AMD A10 PRO-7800B APU,2,NA,"3,179",NA,"1,500",NA,65,48.91,Oct 2014,FM2+,Desktop
,AMD A10-4600M APU,2,$98.99*,"1,906",19.25,"1,065",10.76,35,54.44,Apr 2012,FS1r2,Laptop
,AMD A10-4657M APU,4,NA,"1,759",NA,940,NA,35,50.27,May 2013,FP2,Laptop
,AMD A10-5745M APU,4,NA,"1,763",NA,"1,000",NA,25,70.53,Jul 2013,FP2,Laptop
,AMD A10-5757M APU,4,NA,"1,997",NA,"1,195",NA,35,57.06,Jul 2013,FP2,Laptop
,AMD A10-5800K APU,2,$46.07*,"2,927",63.53,"1,497",32.48,100,29.27,Oct 2012,FM2,Desktop
,AMD A10-6700T APU,2,$147.61*,"2,311",15.66,"1,310",8.87,45,51.36,Jun 2014,FM2,Desktop
,AMD A10-6800B APU,2,$128.02*,"2,824",22.06,"1,513",11.82,100,28.24,Feb 2014,FM2,Desktop
,AMD A10-7300 APU,4,NA,"1,696",NA,837,NA,19,89.27,Jul 2014,FP3,Laptop
,AMD A10-7700K APU,2,$53.79,"3,115",57.92,"1,412",26.26,95,32.79,Jan 2014,FM2+,Desktop
,AMD A10-7850K APU,2,$67.77,"3,413",50.36,"1,523",22.48,95,35.93,Jan 2014,FM2+,Desktop
,AMD A10-7870K,2,$226.99*,"3,488",15.36,"1,494",6.58,95,36.71,Jun 2015,FM2+,Desktop
,AMD A10-8700P,2,NA,"2,216",NA,"1,156",NA,35,63.32,Jul 2015,FP4,Laptop
,AMD A10-8850,2,NA,"3,525",NA,"1,624",NA,NA,NA,May 2016,Unknown,Desktop
,AMD A10-9620P,4,NA,"2,503",NA,"1,282",NA,15,166.86,Aug 2017,Unknown,Laptop
,AMD A10-9700,4,$119.99,"3,541",29.51,"1,619",13.49,65,54.48,Dec 2016,AM4,Desktop
,AMD A12-9700P,4,NA,"2,397",NA,"1,180",NA,15,159.82,Aug 2016,FP4,Laptop
,AMD A12-9730P,4,NA,"3,172",NA,"1,487",NA,35,90.62,Jul 2017,FP4,Laptop
,AMD A12-9800E,4,$435.00,"3,438",7.90,"1,606",3.69,35,98.23,Sep 2017,AM4,Desktop
,AMD A4 PRO-3340B,4,NA,"1,652",NA,657,NA,25,66.10,Nov 2015,BGA769 (FT3),Laptop
,AMD A4 PRO-7350B,1,NA,"1,024",NA,"1,174",NA,65,15.76,Dec 2014,FM2+,Desktop
,AMD A4-1250 APU,2,NA,432,NA,338,NA,8,54.00,Jul 2013,FT3,Laptop
,AMD A4-3300M APU,2,$29.99*,676,22.54,762,25.42,65,10.40,Jul 2011,FM1,Laptop
,AMD A4-3310MX APU,2,NA,785,NA,841,NA,45,17.45,Oct 2011,FS1,Laptop
,AMD A4-3330MX APU,2,NA,681,NA,909,NA,45,15.14,Mar 2013,FS1 uPGA,Laptop
,AMD A4-3420 APU,2,$136.00*,"1,078",7.92,"1,154",8.49,65,16.58,Jan 2012,FM1,Desktop
,AMD A4-4020 APU,2,$91.00*,"1,214",13.34,"1,229",13.50,65,18.68,Jul 2014,FM2,Desktop
,AMD A4-4355M APU,2,NA,795,NA,783,NA,17,46.79,Dec 2012,FP2,Laptop
,AMD A4-5050 APU,4,NA,"1,328",NA,538,NA,13.5,98.37,May 2017,FT3,Laptop
,AMD A4-5150M APU,2,NA,"1,129",NA,"1,109",NA,35,32.26,Jul 2013,FS1r2,Laptop
,AMD A4-5300B APU,2,$25.95*,"1,261",48.61,"1,291",49.75,65,19.41,Dec 2012,FM2,Desktop
,AMD A4-6250J APU,4,NA,"1,685",NA,700,NA,25,67.40,Dec 2014,Unknown,Unknown
,AMD A4-6300B APU,1,$27.95*,"1,328",47.51,"1,373",49.12,65,20.43,Dec 2013,Unknown,Desktop
,AMD A4-7210 APU,4,NA,"1,660",NA,722,NA,25,66.41,Jul 2015,BGA,Laptop
